Stock Name,Date,Predicted Close (Without Sentiment),Predicted Close (With Sentiment),R² (With Sentiment),R² (Without Sentiment)
PG,2022-09-30,138.272365,135.703589,0.76,0.58
AMZN,2022-09-30,118.368747,118.880869,0.84,0.83
AAPL,2022-09-30,151.540161,149.768399,0.82,0.79
TSM,2022-09-30,77.704206,74.482055,0.85,0.52
NIO,2022-09-30,17.483944,17.560625,0.63,0.6
MSFT,2022-09-30,240.714382,242.525458,0.9,0.88
AMD,2022-09-30,71.622991,71.17712,0.89,0.9
TSLA,2022-09-30,284.404826,289.506335,0.33,0.44
GOOG,2022-09-30,100.926123,100.603409,0.81,0.84
NFLX,2022-09-30,222.388435,223.097648,-0.83,-1.91
META,2022-09-30,148.487186,148.480426,0.39,0.56
PYPL,2022-09-30,88.351455,88.712967,0.42,0.42
DIS,2022-09-30,100.091589,98.659977,0.66,0.55
COST,2022-09-30,485.661825,485.272808,0.79,0.78
BA,2022-09-30,138.494699,148.131853,0.39,0.75
